post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class
"P 250 Pad",p-250-pad,,327,,,publish,,0,"2023-11-16 21:04:19",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/p-250-pad/,0,,,,,,,,,,,,simple,,Infills,,
"Antimicrobial Round Sand, 12/20 Green, 50lbs",antimicrobial-round-sand-12-20-green-50lbs,,328,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/antimicrobial-round-sand-12-20-green-50lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Silica #16 50lbs",silica-16-50lbs,,329,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/silica-16-50lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Silica #60 100lbs",silica-60-100lbs,,330,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/silica-60-100lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Silica #30 100lbs",silica-30-100lbs,,331,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/silica-30-100lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Silica #16 100lbs",silica-16-100lbs,,332,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/silica-16-100lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Silica Green #30 50lbs",silica-green-30-50lbs,,333,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/silica-green-30-50lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Zeolite 50lbs",zeolite-50lbs,,334,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/zeolite-50lbs/,0,,,,,,,,,,,,simple,,Infills,,
"Playground Pad 1.25"" (24.5 sq ft each)",playground-pad-1-25-24-5-sq-ft-each,,335,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/playground-pad-1-25-24-5-sq-ft-each/,0,,,,,,,,,,,,simple,,Infills,,
"Camo-Fill 50lbs Bag",camo-fill-50lbs-bag,,336,,,publish,,0,"2023-11-16 21:04:20",1,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,http://localhost:8888/sgsturf-v2/product/camo-fill-50lbs-bag/,0,,,,,,,,,,,,simple,,Infills,,
